Date,Time,Electricity Price ($/kWh)
2025-03-01,00:00,0.341
2025-03-01,12:00,0.207
2025-03-02,00:00,0.209
2025-03-02,12:00,0.269
2025-03-03,00:00,0.216
2025-03-03,12:00,0.172
2025-03-04,00:00,0.393
2025-03-04,12:00,0.231
2025-03-05,00:00,0.367
2025-03-05,12:00,0.254
2025-03-06,00:00,0.4
2025-03-06,12:00,0.204
2025-03-07,00:00,0.293
2025-03-07,12:00,0.305
2025-03-08,00:00,0.275
2025-03-08,12:00,0.343
2025-03-09,00:00,0.328
2025-03-09,12:00,0.204
2025-03-10,00:00,0.394
2025-03-10,12:00,0.235
2025-03-11,00:00,0.152
2025-03-11,12:00,0.242
2025-03-12,00:00,0.229
2025-03-12,12:00,0.277
2025-03-13,00:00,0.311
2025-03-13,12:00,0.402
2025-03-14,00:00,0.326
2025-03-14,12:00,0.392
2025-03-15,00:00,0.361
2025-03-15,12:00,0.407
2025-03-16,00:00,0.243
2025-03-16,12:00,0.32
2025-03-17,00:00,0.184
2025-03-17,12:00,0.218
2025-03-18,00:00,0.384
2025-03-18,12:00,0.355
2025-03-19,00:00,0.184
2025-03-19,12:00,0.168
2025-03-20,00:00,0.213
2025-03-20,12:00,0.366
2025-03-21,00:00,0.301
2025-03-21,12:00,0.442
2025-03-22,00:00,0.325
2025-03-22,12:00,0.435
2025-03-23,00:00,0.214
2025-03-23,12:00,0.234
2025-03-24,00:00,0.324
2025-03-24,12:00,0.368
2025-03-25,00:00,0.389
2025-03-25,12:00,0.236
2025-03-26,00:00,0.359
2025-03-26,12:00,0.245
2025-03-27,00:00,0.156
2025-03-27,12:00,0.412
2025-03-28,00:00,0.221
2025-03-28,12:00,0.217
2025-03-29,00:00,0.179
2025-03-29,12:00,0.416
2025-03-30,00:00,0.178
2025-03-30,12:00,0.357
